OBJECT_ID,COLONNE,VALEUR
13552-INFO-EMP-LINKEDIN-FR-1599166885.html,DATE_COPY,2025-11-16 14:29:21.705753
13552-INFO-EMP-LINKEDIN-FR-1599166885.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13552-INFO-EMP-LINKEDIN-FR-1599166885.html/13552-INFO-EMP-LINKEDIN-FR-1599166885.html
13552-INFO-EMP-LINKEDIN-FR-1599166885.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13552-INFO-EMP-LINKEDIN-FR-1599166885.html/13552-INFO-EMP-LINKEDIN-FR-1599166885.html
13552-INFO-EMP-LINKEDIN-FR-1599166885.html,FILE_TYPE,html
13552-INFO-EMP-LINKEDIN-FR-1599166885.html,COPY_STATUS,SUCCESS
13552-INFO-SOC-GLASSDOOR-E2131167_P1.html,DATE_COPY,2025-11-16 14:29:22.071395
13552-INFO-SOC-GLASSDOOR-E2131167_P1.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13552-INFO-SOC-GLASSDOOR-E2131167_P1.html/13552-INFO-SOC-GLASSDOOR-E2131167_P1.html
13552-INFO-SOC-GLASSDOOR-E2131167_P1.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13552-INFO-SOC-GLASSDOOR-E2131167_P1.html/13552-INFO-SOC-GLASSDOOR-E2131167_P1.html
13552-INFO-SOC-GLASSDOOR-E2131167_P1.html,FILE_TYPE,html
13552-INFO-SOC-GLASSDOOR-E2131167_P1.html,COPY_STATUS,SUCCESS
13553-AVIS-SOC-GLASSDOOR-E5304_P1.html,DATE_COPY,2025-11-16 14:29:22.522029
13553-AVIS-SOC-GLASSDOOR-E5304_P1.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13553-AVIS-SOC-GLASSDOOR-E5304_P1.html/13553-AVIS-SOC-GLASSDOOR-E5304_P1.html
13553-AVIS-SOC-GLASSDOOR-E5304_P1.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVIS/13553-AVIS-SOC-GLASSDOOR-E5304_P1.html/13553-AVIS-SOC-GLASSDOOR-E5304_P1.html
13553-AVIS-SOC-GLASSDOOR-E5304_P1.html,FILE_TYPE,html
13553-AVIS-SOC-GLASSDOOR-E5304_P1.html,COPY_STATUS,SUCCESS
13553-INFO-EMP-LINKEDIN-FR-1566950259.html,DATE_COPY,2025-11-16 14:29:22.718023
13553-INFO-EMP-LINKEDIN-FR-1566950259.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13553-INFO-EMP-LINKEDIN-FR-1566950259.html/13553-INFO-EMP-LINKEDIN-FR-1566950259.html
13553-INFO-EMP-LINKEDIN-FR-1566950259.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13553-INFO-EMP-LINKEDIN-FR-1566950259.html/13553-INFO-EMP-LINKEDIN-FR-1566950259.html
13553-INFO-EMP-LINKEDIN-FR-1566950259.html,FILE_TYPE,html
13553-INFO-EMP-LINKEDIN-FR-1566950259.html,COPY_STATUS,SUCCESS
13553-INFO-SOC-GLASSDOOR-E5304_P1.html,DATE_COPY,2025-11-16 14:29:23.127532
13553-INFO-SOC-GLASSDOOR-E5304_P1.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13553-INFO-SOC-GLASSDOOR-E5304_P1.html/13553-INFO-SOC-GLASSDOOR-E5304_P1.html
13553-INFO-SOC-GLASSDOOR-E5304_P1.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13553-INFO-SOC-GLASSDOOR-E5304_P1.html/13553-INFO-SOC-GLASSDOOR-E5304_P1.html
13553-INFO-SOC-GLASSDOOR-E5304_P1.html,FILE_TYPE,html
13553-INFO-SOC-GLASSDOOR-E5304_P1.html,COPY_STATUS,SUCCESS
13554-AVIS-SOC-GLASSDOOR-E855284_P1.html,DATE_COPY,2025-11-16 14:29:23.538652
13554-AVIS-SOC-GLASSDOOR-E855284_P1.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13554-AVIS-SOC-GLASSDOOR-E855284_P1.html/13554-AVIS-SOC-GLASSDOOR-E855284_P1.html
13554-AVIS-SOC-GLASSDOOR-E855284_P1.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVIS/13554-AVIS-SOC-GLASSDOOR-E855284_P1.html/13554-AVIS-SOC-GLASSDOOR-E855284_P1.html
13554-AVIS-SOC-GLASSDOOR-E855284_P1.html,FILE_TYPE,html
13554-AVIS-SOC-GLASSDOOR-E855284_P1.html,COPY_STATUS,SUCCESS
13554-INFO-EMP-LINKEDIN-FR-1634138009.html,DATE_COPY,2025-11-16 14:29:23.702628
13554-INFO-EMP-LINKEDIN-FR-1634138009.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13554-INFO-EMP-LINKEDIN-FR-1634138009.html/13554-INFO-EMP-LINKEDIN-FR-1634138009.html
13554-INFO-EMP-LINKEDIN-FR-1634138009.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13554-INFO-EMP-LINKEDIN-FR-1634138009.html/13554-INFO-EMP-LINKEDIN-FR-1634138009.html
13554-INFO-EMP-LINKEDIN-FR-1634138009.html,FILE_TYPE,html
13554-INFO-EMP-LINKEDIN-FR-1634138009.html,COPY_STATUS,SUCCESS
13554-INFO-SOC-GLASSDOOR-E855284_P1.html,DATE_COPY,2025-11-16 14:29:24.064337
13554-INFO-SOC-GLASSDOOR-E855284_P1.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13554-INFO-SOC-GLASSDOOR-E855284_P1.html/13554-INFO-SOC-GLASSDOOR-E855284_P1.html
13554-INFO-SOC-GLASSDOOR-E855284_P1.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13554-INFO-SOC-GLASSDOOR-E855284_P1.html/13554-INFO-SOC-GLASSDOOR-E855284_P1.html
13554-INFO-SOC-GLASSDOOR-E855284_P1.html,FILE_TYPE,html
13554-INFO-SOC-GLASSDOOR-E855284_P1.html,COPY_STATUS,SUCCESS
13555-INFO-EMP-LINKEDIN-FR-1602837931.html,DATE_COPY,2025-11-16 14:29:24.277307
13555-INFO-EMP-LINKEDIN-FR-1602837931.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13555-INFO-EMP-LINKEDIN-FR-1602837931.html/13555-INFO-EMP-LINKEDIN-FR-1602837931.html
13555-INFO-EMP-LINKEDIN-FR-1602837931.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13555-INFO-EMP-LINKEDIN-FR-1602837931.html/13555-INFO-EMP-LINKEDIN-FR-1602837931.html
13555-INFO-EMP-LINKEDIN-FR-1602837931.html,FILE_TYPE,html
13555-INFO-EMP-LINKEDIN-FR-1602837931.html,COPY_STATUS,SUCCESS
13556-INFO-EMP-LINKEDIN-FR-1637899355.html,DATE_COPY,2025-11-16 14:29:24.453752
13556-INFO-EMP-LINKEDIN-FR-1637899355.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13556-INFO-EMP-LINKEDIN-FR-1637899355.html/13556-INFO-EMP-LINKEDIN-FR-1637899355.html
13556-INFO-EMP-LINKEDIN-FR-1637899355.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13556-INFO-EMP-LINKEDIN-FR-1637899355.html/13556-INFO-EMP-LINKEDIN-FR-1637899355.html
13556-INFO-EMP-LINKEDIN-FR-1637899355.html,FILE_TYPE,html
13556-INFO-EMP-LINKEDIN-FR-1637899355.html,COPY_STATUS,SUCCESS
13557-INFO-EMP-LINKEDIN-FR-1644582626.html,DATE_COPY,2025-11-16 14:29:24.602923
13557-INFO-EMP-LINKEDIN-FR-1644582626.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13557-INFO-EMP-LINKEDIN-FR-1644582626.html/13557-INFO-EMP-LINKEDIN-FR-1644582626.html
13557-INFO-EMP-LINKEDIN-FR-1644582626.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13557-INFO-EMP-LINKEDIN-FR-1644582626.html/13557-INFO-EMP-LINKEDIN-FR-1644582626.html
13557-INFO-EMP-LINKEDIN-FR-1644582626.html,FILE_TYPE,html
13557-INFO-EMP-LINKEDIN-FR-1644582626.html,COPY_STATUS,SUCCESS
13558-AVIS-SOC-GLASSDOOR-E6162_P1.html,DATE_COPY,2025-11-16 14:29:25.118244
13558-AVIS-SOC-GLASSDOOR-E6162_P1.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13558-AVIS-SOC-GLASSDOOR-E6162_P1.html/13558-AVIS-SOC-GLASSDOOR-E6162_P1.html
13558-AVIS-SOC-GLASSDOOR-E6162_P1.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVIS/13558-AVIS-SOC-GLASSDOOR-E6162_P1.html/13558-AVIS-SOC-GLASSDOOR-E6162_P1.html
13558-AVIS-SOC-GLASSDOOR-E6162_P1.html,FILE_TYPE,html
13558-AVIS-SOC-GLASSDOOR-E6162_P1.html,COPY_STATUS,SUCCESS
13558-AVIS-SOC-GLASSDOOR-E6162_P2.html,DATE_COPY,2025-11-16 14:29:25.599029
13558-AVIS-SOC-GLASSDOOR-E6162_P2.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13558-AVIS-SOC-GLASSDOOR-E6162_P2.html/13558-AVIS-SOC-GLASSDOOR-E6162_P2.html
13558-AVIS-SOC-GLASSDOOR-E6162_P2.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVIS/13558-AVIS-SOC-GLASSDOOR-E6162_P2.html/13558-AVIS-SOC-GLASSDOOR-E6162_P2.html
13558-AVIS-SOC-GLASSDOOR-E6162_P2.html,FILE_TYPE,html
13558-AVIS-SOC-GLASSDOOR-E6162_P2.html,COPY_STATUS,SUCCESS
13558-INFO-EMP-LINKEDIN-FR-1610492058.html,DATE_COPY,2025-11-16 14:29:25.747068
13558-INFO-EMP-LINKEDIN-FR-1610492058.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13558-INFO-EMP-LINKEDIN-FR-1610492058.html/13558-INFO-EMP-LINKEDIN-FR-1610492058.html
13558-INFO-EMP-LINKEDIN-FR-1610492058.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13558-INFO-EMP-LINKEDIN-FR-1610492058.html/13558-INFO-EMP-LINKEDIN-FR-1610492058.html
13558-INFO-EMP-LINKEDIN-FR-1610492058.html,FILE_TYPE,html
13558-INFO-EMP-LINKEDIN-FR-1610492058.html,COPY_STATUS,SUCCESS
13558-INFO-SOC-GLASSDOOR-E6162_P1.html,DATE_COPY,2025-11-16 14:29:26.194567
13558-INFO-SOC-GLASSDOOR-E6162_P1.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13558-INFO-SOC-GLASSDOOR-E6162_P1.html/13558-INFO-SOC-GLASSDOOR-E6162_P1.html
13558-INFO-SOC-GLASSDOOR-E6162_P1.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13558-INFO-SOC-GLASSDOOR-E6162_P1.html/13558-INFO-SOC-GLASSDOOR-E6162_P1.html
13558-INFO-SOC-GLASSDOOR-E6162_P1.html,FILE_TYPE,html
13558-INFO-SOC-GLASSDOOR-E6162_P1.html,COPY_STATUS,SUCCESS
13559-AVIS-SOC-GLASSDOOR-E13824_P1.html,DATE_COPY,2025-11-16 14:29:26.617159
13559-AVIS-SOC-GLASSDOOR-E13824_P1.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13559-AVIS-SOC-GLASSDOOR-E13824_P1.html/13559-AVIS-SOC-GLASSDOOR-E13824_P1.html
13559-AVIS-SOC-GLASSDOOR-E13824_P1.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVIS/13559-AVIS-SOC-GLASSDOOR-E13824_P1.html/13559-AVIS-SOC-GLASSDOOR-E13824_P1.html
13559-AVIS-SOC-GLASSDOOR-E13824_P1.html,FILE_TYPE,html
13559-AVIS-SOC-GLASSDOOR-E13824_P1.html,COPY_STATUS,SUCCESS
13559-INFO-EMP-LINKEDIN-FR-1637893990.html,DATE_COPY,2025-11-16 14:29:26.786750
13559-INFO-EMP-LINKEDIN-FR-1637893990.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13559-INFO-EMP-LINKEDIN-FR-1637893990.html/13559-INFO-EMP-LINKEDIN-FR-1637893990.html
13559-INFO-EMP-LINKEDIN-FR-1637893990.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13559-INFO-EMP-LINKEDIN-FR-1637893990.html/13559-INFO-EMP-LINKEDIN-FR-1637893990.html
13559-INFO-EMP-LINKEDIN-FR-1637893990.html,FILE_TYPE,html
13559-INFO-EMP-LINKEDIN-FR-1637893990.html,COPY_STATUS,SUCCESS
13559-INFO-SOC-GLASSDOOR-E13824_P1.html,DATE_COPY,2025-11-16 14:29:27.206693
13559-INFO-SOC-GLASSDOOR-E13824_P1.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13559-INFO-SOC-GLASSDOOR-E13824_P1.html/13559-INFO-SOC-GLASSDOOR-E13824_P1.html
13559-INFO-SOC-GLASSDOOR-E13824_P1.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13559-INFO-SOC-GLASSDOOR-E13824_P1.html/13559-INFO-SOC-GLASSDOOR-E13824_P1.html
13559-INFO-SOC-GLASSDOOR-E13824_P1.html,FILE_TYPE,html
13559-INFO-SOC-GLASSDOOR-E13824_P1.html,COPY_STATUS,SUCCESS
13560-INFO-EMP-LINKEDIN-FR-1624194180.html,DATE_COPY,2025-11-16 14:29:27.366516
13560-INFO-EMP-LINKEDIN-FR-1624194180.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13560-INFO-EMP-LINKEDIN-FR-1624194180.html/13560-INFO-EMP-LINKEDIN-FR-1624194180.html
13560-INFO-EMP-LINKEDIN-FR-1624194180.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13560-INFO-EMP-LINKEDIN-FR-1624194180.html/13560-INFO-EMP-LINKEDIN-FR-1624194180.html
13560-INFO-EMP-LINKEDIN-FR-1624194180.html,FILE_TYPE,html
13560-INFO-EMP-LINKEDIN-FR-1624194180.html,COPY_STATUS,SUCCESS
13561-INFO-EMP-LINKEDIN-FR-1390703995.html,DATE_COPY,2025-11-16 14:29:27.559121
13561-INFO-EMP-LINKEDIN-FR-1390703995.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13561-INFO-EMP-LINKEDIN-FR-1390703995.html/13561-INFO-EMP-LINKEDIN-FR-1390703995.html
13561-INFO-EMP-LINKEDIN-FR-1390703995.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13561-INFO-EMP-LINKEDIN-FR-1390703995.html/13561-INFO-EMP-LINKEDIN-FR-1390703995.html
13561-INFO-EMP-LINKEDIN-FR-1390703995.html,FILE_TYPE,html
13561-INFO-EMP-LINKEDIN-FR-1390703995.html,COPY_STATUS,SUCCESS
13562-AVIS-SOC-GLASSDOOR-E1303620_P1.html,DATE_COPY,2025-11-16 14:29:27.967726
13562-AVIS-SOC-GLASSDOOR-E1303620_P1.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13562-AVIS-SOC-GLASSDOOR-E1303620_P1.html/13562-AVIS-SOC-GLASSDOOR-E1303620_P1.html
13562-AVIS-SOC-GLASSDOOR-E1303620_P1.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVIS/13562-AVIS-SOC-GLASSDOOR-E1303620_P1.html/13562-AVIS-SOC-GLASSDOOR-E1303620_P1.html
13562-AVIS-SOC-GLASSDOOR-E1303620_P1.html,FILE_TYPE,html
