date_creation_entreprise;fichier_source;id_soc;nom_societe;secteur_entreprise;siege_social_entreprise;taille_entreprise;type_entreprise;ville_entreprise
 Franchise;13643-INFO-SOC-GLASSDOOR-E2411165_P1.html;55;Altran Telnet; Ne sait pas / non applicable par an;Entre 201 et 500 employés; Inconnu; Inconnu;Entre 201 et 500 employés
"<a href=""/Présentation/Travailler-chez-LVMH-EI_IE3489.16,20.htm"">LVMH</a>";13645-INFO-SOC-GLASSDOOR-E14590_P1.html;56;Sephora; Entreprise non cotée en bourse;San Francisco, CA (États-Unis);Plus de 10 000 employés; 1969;San Francisco, CA (États-Unis)
 1987;13646-INFO-SOC-GLASSDOOR-E3489_P1.html;57;LVMH; Autres magasins de détail;Paris;Plus de 10 000 employés; Entreprise cotée en bourse (MC) ;Paris
 Inconnu;13647-INFO-SOC-GLASSDOOR-E241449_P1.html;58;Statkraft AS; Services publics de distribution;Oslo (Norvège);Entre 201 et 500 employés; Entreprise non cotée en bourse;Oslo (Norvège)
 2009;13648-INFO-SOC-GLASSDOOR-E1137726_P1.html;59;Sparklane; Solutions logicielles et réseau d'entreprise;Paris;De 1 à 50 employés; Inconnu;Paris
 2000;13554-INFO-SOC-GLASSDOOR-E855284_P1.html;6;Atos Medical; Fabrication de produits de soins de santé;New Berlin, WI (États-Unis);De 51 à 200 employés; Filiale ou unité d'exploitation;New Berlin, WI (États-Unis)
"<a href=""/Présentation/Travailler-chez-ManpowerGroup-EI_IE582741.16,29.htm"">ManpowerGroup</a>";13649-INFO-SOC-GLASSDOOR-E2548_P1.html;60;Manpower; Filiale ou unité d'exploitation;Uxbridge, Angleterre (Royaume-Uni);De 5 001 à 10 000 employés; 1948;Uxbridge, Angleterre (Royaume-Uni)
 2008;13650-INFO-SOC-GLASSDOOR-E809243_P1.html;61;ITS; Biotechnologies et pharmaceutique;Burnaby, BC (Canada);De 1 à 50 employés; Entreprise non cotée en bourse;Burnaby, BC (Canada)
 1997;13652-INFO-SOC-GLASSDOOR-E788645_P1.html;62;ITS Group; Services informatiques;Boulogne-Billancourt;De 1 001 à 5 000 employés; Entreprise cotée en bourse;Boulogne-Billancourt
 Inconnu;13653-INFO-SOC-GLASSDOOR-E454220_P1.html;63;Loria; Recherche et développement;Vandoeuvre;De 501 à 1 000 employés; Entreprise non cotée en bourse;Vandoeuvre
 2006;13654-INFO-SOC-GLASSDOOR-E899918_P1.html;64;ITS Overlap; Production animale;Nanterre;Entre 201 et 500 employés; Entreprise non cotée en bourse;Nanterre
"<a href=""/Présentation/Travailler-chez-Canon-EI_IE3522.16,21.htm"">Canon</a>";13655-INFO-SOC-GLASSDOOR-E717393_P1.html;65;Canon ITS; Filiale ou unité d'exploitation;Chesapeake, VA (États-Unis);Entre 201 et 500 employés; Inconnu;Chesapeake, VA (États-Unis)
