experience_emp;fichier_source;fonction_emp;formation_emp;lieu_emp;missions_emp;niveau_hierarchique;nom_societe_gemini;nom_societe_scrap;secteur_emp;soft_skills_emp;technos_emp;titre_emp;type_emp
NULL;13741-INFO-EMP-LINKEDIN-FR-1464692595.html;Technologies de l’information;NULL;Région de Paris, France;NULL;Premier emploi;NULL;Thales;Technologies et services de l’information;NULL;NULL;Ingénieur Big Data;Temps plein
NULL;13742-INFO-EMP-LINKEDIN-FR-1602836742.html;Technologies de l’information;NULL;Paris, Île-de-France, France;NULL;Stagiaire;NULL;Keyrus;Technologies et services de l’information;NULL;NULL;Stagiaire Ingénieur d’Affaires H/F #Data & #Digital ;Stagiaire / Alternant
NULL;13743-INFO-EMP-LINKEDIN-FR-1644551818.html;Technologies de l’information;NULL;Paris, FR;NULL;Premier emploi;NULL;Lacoste;Confection et mode;NULL;NULL;Data Analyst;Temps plein
NULL;13744-INFO-EMP-LINKEDIN-FR-1604783346.html;Ingénierie;NULL;Lyon, FR;NULL;Premier emploi;NULL;Davidson consulting;Technologies de l’information;NULL;NULL;Data scientist – Machine learning;Temps plein
NULL;13547-INFO-EMP-LINKEDIN-FR-1519694389.html;Ventes;NULL;Lyon, FR;NULL;Premier emploi;NULL;Groupe PSIH;Développement commercial;NULL;NULL;INGÉNIEUR COMMERCIAL;Temps plein
NULL;13565-INFO-EMP-LINKEDIN-FR-1450797712.html;Ingénierie;NULL;Lyon, FR;NULL;Premier emploi;NULL;BIAL-R;Technologies de l’information;NULL;NULL;Data Scientist (H/F) Lyon;Temps plein
NULL;13745-INFO-EMP-LINKEDIN-FR-1602072235.html;Ingénierie;NULL;Lyon, FR;NULL;Premier emploi;NULL;Novulys;Technologies de l’information;NULL;NULL;Data Scientist H/F;Temps plein
NULL;13746-INFO-EMP-LINKEDIN-FR-1596475157.html;Ingénierie;NULL;Lyon, FR;NULL;Premier emploi;NULL;Flatchr;Technologies de l’information;NULL;NULL;Data Scientist - Stage - (Computer Vision/NLP/Predictive modelling) à Lyon;Temps plein
NULL;13747-INFO-EMP-LINKEDIN-FR-1555920154.html;Ingénierie;NULL;Lyon, FR;NULL;Premier emploi;NULL;Gfi world;Technologies de l’information;NULL;NULL;Data Scientist H/F;Temps plein
NULL;13748-INFO-EMP-LINKEDIN-FR-1647569045.html;Études/recherche;NULL;Dargoire, FR;NULL;Manager;NULL;Bayer;Sciences;NULL;NULL;Biostatistician / Data Scientist (M/F);Temps plein
NULL;13749-INFO-EMP-LINKEDIN-FR-1616553459.html;Technologies de l’information;NULL;Lyon, FR;NULL;Premier emploi;NULL;Veolia;Technologies et services de l’information;NULL;NULL;Data Analyst-Data Scientist;Temps plein
NULL;13750-INFO-EMP-LINKEDIN-FR-1607857216.html;Ingénierie;NULL;Lyon, FR;NULL;Premier emploi;NULL;VINCI Energies;Technologies de l’information;NULL;NULL;PFE Data Scientist - Big Data - IOT F/H;Temps plein
NULL;13751-INFO-EMP-LINKEDIN-FR-1609505290.html;Autre;NULL;Lyon, FR;NULL;Non pertinent;NULL;Volvo Group;Technologies de l’information;NULL;NULL;Data Scientist (H/F);Temps plein
NULL;13752-INFO-EMP-LINKEDIN-FR-1640458611.html;Ingénierie;NULL;Montpellier, FR;NULL;Premier emploi;NULL;2s2i Groupe;Technologies de l’information;NULL;NULL;Ingénieur Décisionnel h/f / Freelance;Temps plein
NULL;13753-INFO-EMP-LINKEDIN-FR-1640316475.html;Autre;NULL;Aix-en-Provence, FR;NULL;Non pertinent;NULL;AVISTO;Technologies et services de l’information;NULL;NULL;Ingénieur(e) décisionnel - BusinessIntelligence;Temps plein
NULL;13754-INFO-EMP-LINKEDIN-FR-1632460128.html;Ingénierie;NULL;Clichy, FR;NULL;Premier emploi;NULL;ILYEUM;Technologies de l’information;NULL;NULL;Ingénieur décisionnel technico-fonctionnel powerBI / SSRS/ Qliksense / Anglais (H/F) / Freelance;Temps plein
NULL;13566-INFO-EMP-LINKEDIN-FR-1613358196.html;Ingénierie;NULL;Lyon, FR;NULL;Non pertinent;NULL;Statkraft;Technologies de l’information;NULL;NULL;Stagiaire - Data Scientist (h/f);Temps plein
NULL;13755-INFO-EMP-LINKEDIN-FR-1643560284.html;Technologies de l’information;NULL;Azur, FR;NULL;Premier emploi;NULL;Acadomia;Technologies et services de l’information;NULL;NULL;INGÉNIEUR DBA DÉCISIONNEL (F/H);Temps plein
NULL;13756-INFO-EMP-LINKEDIN-FR-1602637167.html;Ingénierie;NULL;Montpellier, FR;NULL;Premier emploi;NULL;GFI Group;Technologies de l’information;NULL;NULL;Ingenieur decisionnel;Temps plein
NULL;13757-INFO-EMP-LINKEDIN-FR-1601610594.html;Ingénierie;NULL;Bordeaux, FR;NULL;Premier emploi;NULL;Expectra;Technologies de l’information;NULL;NULL;INGÉNIEUR DÉCISIONNEL (F/H);Temps plein
NULL;13758-INFO-EMP-LINKEDIN-FR-1633314397.html;Ingénierie;NULL;Lille, FR;NULL;Premier emploi;NULL;ICSIS;Technologies de l’information;NULL;NULL;Ingénieur d'Etudes Décisionnel H/F;Temps plein
NULL;13759-INFO-EMP-LINKEDIN-FR-1481280755.html;Technologies de l’information;NULL;Lille, Nord-Pas-de-Calais, France;NULL;Confirmé;NULL;Modis;Technologies et services de l’information;NULL;NULL;Ingénieur étude et développement Décisionnel (H/F);Temps plein
